COSEWIC common name,COSEWIC population,COSEWIC status,COSEWIC last assessment date,Scientific name,Legal common name,Legal population,Schedule status,Last status change,SARA schedule,Date added,Range,Taxonomic group,Under consideration for,GIC decision
Large-flowered Brickellia,,Not at Risk,1996-04-01,Brickellia grandiflora,,,No Status,,No schedule,,"Alberta, British Columbia",Vascular Plants,,
Large-headed Woolly Yarrow,,Special Concern,2018-04-27,Achillea millefolium var. megacephala,Large-headed Woolly Yarrow,,Special Concern,2003-06-05,Schedule 1,2003-06-05,Saskatchewan,Vascular Plants,,Added to list
Lark Bunting,,Threatened,2017-04-28,Calamospiza melanocorys,Lark Bunting,,Threatened,2019-05-22,Schedule 1,2019-05-22,"Alberta, Manitoba, Saskatchewan",Birds,,Added to list
Laura's Clubtail,,Endangered,2010-04-25,Stylurus laurae,Laura's Clubtail,,No Status,2012-07-04,No schedule,,Ontario,Arthropods,,Not to list
Leach’s Storm-Petrel,Atlantic population,Threatened,2020-11-04,Oceanodroma leucorhoa,Leach’s Storm-Petrel,Atlantic population,No Status,,No schedule,,"Atlantic Ocean, New Brunswick, Newfoundland and Labrador, Nova Scotia, Prince Edward Island, Quebec",Birds,Addition,Pending
Least Bittern,,Threatened,2009-04-26,Ixobrychus exilis,Least Bittern,,Threatened,2003-06-05,Schedule 1,2003-06-05,"Manitoba, New Brunswick, Nova Scotia, Ontario, Quebec",Birds,,Added to list
Least Darter,,Not at Risk,1989-04-01,Etheostoma microperca,,,No Status,,No schedule,,Ontario,Fishes (freshwater),,
Leatherback Sea Turtle,,Non-active,2012-05-04,Dermochelys coriacea,Leatherback Sea Turtle,,No Status,2017-04-13,No schedule,2003-06-05,"Atlantic Ocean, Pacific Ocean",Reptiles,,Struck - WS reassignment
Leatherback Sea Turtle,Atlantic population,Endangered,2022-12-03,Dermochelys coriacea,Leatherback Sea Turtle,Atlantic population,Endangered,,Schedule 1,2003-06-05,"Atlantic Ocean, New Brunswick, Newfoundland and Labrador, Nova Scotia, Prince Edward Island, Quebec",Reptiles,,
Leatherback Sea Turtle,Pacific population,Endangered,2022-12-03,Dermochelys coriacea,Leatherback Sea Turtle,Pacific population,Endangered,,Schedule 1,2003-06-05,"British Columbia, Pacific Ocean",Reptiles,,
Leiberg's Fleabane,,Data Deficient,2016-11-27,Erigeron leibergii,,,No Status,,No schedule,,British Columbia,Vascular Plants,,
Lemmon's Holly Fern,,Threatened,2003-05-01,Polystichum lemmonii,Lemmon's Holly Fern,,Threatened,2005-01-12,Schedule 1,2005-01-12,British Columbia,Vascular Plants,,Added to list
Leopard Dace,,Not at Risk,1990-04-01,Rhinichthys falcatus,,,No Status,,No schedule,,British Columbia,Fishes (freshwater),,
Lesser Yellowlegs,,Threatened,2020-11-04,Tringa flavipes,Lesser Yellowlegs,,No Status,,No schedule,,"Alberta, British Columbia, Manitoba, New Brunswick, Newfoundland and Labrador, Northwest Territories, Nova Scotia, Nunavut, Ontario, Prince Edward Island, Quebec, Saskatchewan, Yukon",Birds,Addition,Pending
Lewis's Woodpecker,,Threatened,2010-04-25,Melanerpes lewis,Lewis's Woodpecker,,Threatened,2012-06-20,Schedule 1,2003-06-05,British Columbia,Birds,,Uplisted: Special Concern to threatened
Lilliput,,Endangered,2013-05-03,Toxolasma parvum,Lilliput,,Endangered,2019-08-08,Schedule 1,2019-08-08,Ontario,Molluscs,,Added to list
Limber Pine,,Endangered,2014-11-28,Pinus flexilis,Limber Pine,,No Status,,No schedule,,"Alberta, British Columbia",Vascular Plants,Addition,Pending
Lindley's False Silverpuffs,,Endangered,2008-04-25,Uropappus lindleyi,Lindley's False Silverpuffs,,Endangered,2010-02-23,Schedule 1,2010-02-23,British Columbia,Vascular Plants,,Added to list
Little Barley,,Data Deficient,1993-04-01,Hordeum pusillum,,,No Status,,No schedule,,Alberta,Vascular Plants,,
Little Brown Myotis,,Endangered,2013-11-01,Myotis lucifugus,Little Brown Myotis,,Endangered,2014-11-26,Schedule 1,2014-11-26,"Alberta, British Columbia, Manitoba, New Brunswick, Newfoundland and Labrador, Northwest Territories, Nova Scotia, Ontario, Prince Edward Island, Quebec, Saskatchewan, Yukon",Mammals (terrestrial),,Added to list
Little Quarry Lake Benthic Threespine Stickleback,,Threatened,2023-12-01,Gasterosteus aculeatus,Little Quarry Lake Benthic Threespine Stickleback,,No Status,,No schedule,,British Columbia,Fishes (freshwater),Addition,Pending
Little Quarry Lake Limnetic Threespine Stickleback,,Threatened,2023-12-01,Gasterosteus aculeatus,Little Quarry Lake Limnetic Threespine Stickleback,,No Status,,No schedule,,British Columbia,Fishes (freshwater),Addition,Pending
Loggerhead Sea Turtle,,Endangered,2010-04-25,Caretta caretta,Loggerhead Sea Turtle,,Endangered,2017-04-13,Schedule 1,2017-04-13,Atlantic Ocean,Reptiles,,Added to list
Loggerhead Shrike,,Non-active,1991-04-01,Lanius ludovicianus,Loggerhead Shrike,,,,No schedule,,"Alberta, British Columbia, Manitoba, New Brunswick, Nova Scotia, Ontario, Quebec, Saskatchewan",Birds,,
Loggerhead Shrike Eastern subspecies,,Endangered,2014-05-02,Lanius ludovicianus ssp.,Loggerhead Shrike Eastern subspecies,,Endangered,,Schedule 1,2003-06-05,"Ontario, Quebec",Birds,,
Loggerhead Shrike migrans subspecies,,Non-active,2014-05-02,Lanius ludovicianus migrans,Loggerhead Shrike migrans subspecies,,No Status,2015-01-13,No schedule,2003-06-05,"Manitoba, Ontario, Quebec",Birds,,Struck - WS reassignment
Loggerhead Shrike Prairie subspecies,,Threatened,2014-05-02,Lanius ludovicianus excubitorides,Loggerhead Shrike Prairie subspecies,,Threatened,2005-07-14,Schedule 1,2005-07-14,"Alberta, Manitoba, Saskatchewan",Birds,,Added to list
Long's Braya,,Endangered,2011-05-06,Braya longii,Long's Braya,,Endangered,2003-06-05,Schedule 1,2003-06-05,Newfoundland and Labrador,Vascular Plants,,Added to list
Long's Bulrush,,Special Concern,2017-04-28,Scirpus longii,Long's Bulrush,,Special Concern,2021-08-12,Schedule 1,2021-08-12,Nova Scotia,Vascular Plants,,Added to list
Long-billed Curlew,,Threatened,2024-05-09,Numenius americanus,Long-billed Curlew,,Special Concern,,Schedule 1,2005-01-12,"Alberta, British Columbia, Saskatchewan",Birds,Status change,Pending
Long-finned Pilot Whale,,Not at Risk,1994-04-01,Globicephala melas,,,No Status,,No schedule,,Atlantic Ocean,Mammals (marine),,
Long-stalked Whitlow-grass,,Data Deficient,1992-04-01,Draba juvenilis,,,No Status,,No schedule,,Alberta,Vascular Plants,,
Long-toed Salamander,,Not at Risk,2006-04-29,Ambystoma macrodactylum,,,No Status,,No schedule,,"Alberta, British Columbia",Amphibians,,
Longfin Smelt,Pygmy populations,Data Deficient,2004-11-01,Spirinchus thaleichthys,,,No Status,,No schedule,,British Columbia,Fishes (freshwater),,
Longjaw Cisco,,Non-active,2002-05-01,Coregonus alpenae,,,No Status,,No schedule,,Ontario,Fishes (freshwater),,
Longnose Skate,,Not at Risk,2007-04-22,Raja rhina,,,No Status,,No schedule,,Pacific Ocean,Fishes (marine),,
Longspine Thornyhead,,Special Concern,2007-04-22,Sebastolobus altivelis,Longspine Thornyhead,,Special Concern,2009-03-05,Schedule 1,2009-03-05,Pacific Ocean,Fishes (marine),,Added to list
Louisiana Waterthrush,,Threatened,2015-11-26,Parkesia motacilla,Louisiana Waterthrush,,Threatened,2019-05-22,Schedule 1,2007-12-13,"Ontario, Quebec",Birds,,Uplisted: Special Concern to threatened
Lumpfish,,Threatened,2017-11-01,Cyclopterus lumpus,Lumpfish,,No Status,,No schedule,,"Atlantic Ocean, Manitoba, New Brunswick, Newfoundland and Labrador, Nova Scotia, Nunavut, Ontario, Prince Edward Island, Quebec",Fishes (marine),Addition,Pending
Lyall's Mariposa Lily,,Special Concern,2011-05-06,Calochortus lyallii,Lyall's Mariposa Lily,,Special Concern,2017-02-03,Schedule 1,2003-06-05,British Columbia,Vascular Plants,,Downlisted: Threatened to special concern
Mackenzie Hairgrass,,Special Concern,2018-04-27,Deschampsia mackenzieana,Mackenzie Hairgrass,,Special Concern,2003-06-05,Schedule 1,2003-06-05,"Northwest Territories, Saskatchewan",Vascular Plants,,Added to list
Macoun's Meadowfoam,,Special Concern,2023-12-01,Limnanthes macounii,Macoun's Meadowfoam,,Threatened,,Schedule 1,2006-08-15,British Columbia,Vascular Plants,Status change,Pending
Macoun's Shining Moss,,Extinct,2002-11-01,Neomacounia nitida,,,No Status,,No schedule,,Ontario,Mosses,,
Macropis Cuckoo Bee,,Endangered,2011-05-06,Epeoloides pilosulus,Macropis Cuckoo Bee,,Endangered,2018-05-30,Schedule 1,2018-05-30,Nova Scotia,Arthropods,,Added to list
Magdalen Islands Grasshopper,,Special Concern,2016-11-27,Melanoplus madeleineae,Magdalen Islands Grasshopper,,Special Concern,2021-08-12,Schedule 1,2021-08-12,Quebec,Arthropods,,Added to list
Magnum Mantleslug,,Special Concern,2022-12-03,Magnipelta mycophaga,Magnum Mantleslug,,Special Concern,2017-02-03,Schedule 1,2017-02-03,British Columbia,Molluscs,,Added to list
Maleberry,,Endangered,2020-11-04,Lyonia ligustrina,Maleberry,,No Status,,No schedule,,Nova Scotia,Vascular Plants,Addition,Pending
Manitoba Oakworm Moth,,Special Concern,2019-11-29,Anisota manitobensis,Manitoba Oakworm Moth,,Special Concern,2024-06-10,Schedule 1,2024-06-10,Manitoba,Arthropods,,Added to list
Mapleleaf,Great Lakes - Upper St. Lawrence population,Special Concern,2016-11-27,Quadrula quadrula,Mapleleaf,Great Lakes - Upper St. Lawrence population,Special Concern,2019-08-08,Schedule 1,2013-03-08,Ontario,Molluscs,,Downlisted: Threatened to special concern
Mapleleaf,Saskatchewan – Nelson Rivers population,Threatened,2016-11-27,Quadrula quadrula,Mapleleaf,Saskatchewan – Nelson Rivers population,Threatened,2019-08-08,Schedule 1,2013-03-08,Manitoba,Molluscs,,Downlisted: Endangered to threatened
Marbled Murrelet,,Threatened,2012-05-04,Brachyramphus marmoratus,Marbled Murrelet,,Threatened,2003-06-05,Schedule 1,2003-06-05,British Columbia,Birds,,Added to list
Margined Madtom,,Data Deficient,2002-05-01,Noturus insignis,Margined Madtom,,,,,,"Ontario, Quebec",Fishes (freshwater),,
Margined Streamside Moss,,Endangered,2012-05-04,Scouleria marginata,Margined Streamside Moss,,Endangered,2005-01-12,Schedule 1,2005-01-12,British Columbia,Mosses,,Added to list
Maritime Ringlet,,Endangered,2009-04-26,Coenonympha nipisiquit,Maritime Ringlet,,Endangered,2003-06-05,Schedule 1,2003-06-05,"New Brunswick, Quebec",Arthropods,,Added to list
Massasauga,,Non-active,2012-11-25,Sistrurus catenatus,Massasauga,,No Status,2018-02-02,No schedule,2005-01-12,Ontario,Reptiles,,Struck - WS reassignment
Massasauga,Carolinian population,Endangered,2012-11-25,Sistrurus catenatus,Massasauga,Carolinian population,Endangered,2018-02-02,Schedule 1,2005-01-12,Ontario,Reptiles,,Uplisted: Threatened to endangered
Massasauga,Great Lakes / St. Lawrence population,Threatened,2012-11-25,Sistrurus catenatus,Massasauga,Great Lakes / St. Lawrence population,Threatened,,Schedule 1,2005-01-12,Ontario,Reptiles,,
McCown's Longspur,,Threatened,2016-04-29,Rhynchophanes mccownii,McCown's Longspur,,Threatened,2019-05-22,Schedule 1,2007-12-13,"Alberta, Saskatchewan",Birds,,Uplisted: Special Concern to threatened
Meadow Thistle,Mingan population,Endangered,2022-05-11,Cirsium scariosum,Meadow Thistle,Mingan population,No Status,,No schedule,,Quebec,Vascular Plants,Addition,Pending
Meadow Thistle,Rocky Mountain population,Endangered,2022-05-11,Cirsium scariosum,Meadow Thistle,Rocky Mountain population,No Status,,No schedule,,"Alberta, British Columbia",Vascular Plants,Addition,Pending
Merlin,,Not at Risk,1985-04-01,Falco columbarius,,,No Status,,No schedule,,"Alberta, British Columbia, Manitoba, New Brunswick, Newfoundland and Labrador, Northwest Territories, Nova Scotia, Nunavut, Ontario, Prince Edward Island, Quebec, Saskatchewan, Yukon",Birds,,
Mexican Mosquito-fern,,Threatened,2008-11-28,Azolla mexicana,Mexican Mosquito-fern,,Threatened,2003-06-05,Schedule 1,2003-06-05,British Columbia,Vascular Plants,,Added to list
Midland Painted Turtle,,Special Concern,2018-04-27,Chrysemys picta marginata,Midland Painted Turtle,,Special Concern,2021-04-23,Schedule 1,2021-04-23,"Ontario, Quebec",Reptiles,,Added to list
Misty Lake Lentic Threespine Stickleback,,Endangered,2023-12-01,Gasterosteus aculeatus,Misty Lake Lentic Threespine Stickleback,,Endangered,2010-02-23,Schedule 1,2010-02-23,British Columbia,Fishes (freshwater),,Added to list
Misty Lake Lotic Threespine Stickleback,,Endangered,2023-12-01,Gasterosteus aculeatus,Misty Lake Lotic Threespine Stickleback,,Endangered,2010-02-23,Schedule 1,2010-02-23,British Columbia,Fishes (freshwater),,Added to list
Monarch,,Endangered,2016-11-27,Danaus plexippus,Monarch,,Endangered,2023-12-08,Schedule 1,2003-06-05,"Alberta, British Columbia, Manitoba, New Brunswick, Nova Scotia, Ontario, Prince Edward Island, Quebec, Saskatchewan",Arthropods,,Uplisted: Special Concern to endangered
Mormon Metalmark,Prairie population,Special Concern,2014-05-02,Apodemia mormo,Mormon Metalmark,Prairie population,Special Concern,2018-02-02,Schedule 1,2005-01-12,Saskatchewan,Arthropods,,Downlisted: Threatened to special concern
Mormon Metalmark,Southern Mountain population,Endangered,2014-05-02,Apodemia mormo,Mormon Metalmark,Southern Mountain population,Endangered,2005-01-12,Schedule 1,2005-01-12,British Columbia,Arthropods,,Added to list
Mottled Duskywing,Boreal population,Endangered,2012-11-25,Erynnis martialis,Mottled Duskywing,Boreal population,Endangered,2023-02-03,Schedule 1,2023-02-03,Manitoba,Arthropods,,Added to list
Mottled Duskywing,Great Lakes Plains population,Endangered,2012-11-25,Erynnis martialis,Mottled Duskywing,Great Lakes Plains population,Endangered,2023-02-03,Schedule 1,2023-02-03,"Ontario, Quebec",Arthropods,,Added to list
Mountain Beaver,,Special Concern,2022-12-03,Aplodontia rufa,Mountain Beaver,,Special Concern,2003-06-05,Schedule 1,2003-06-05,British Columbia,Mammals (terrestrial),,Added to list
Mountain Crab-eye,,Special Concern,2016-04-29,Acroscyphus sphaerophoroides,Mountain Crab-eye,,Special Concern,2019-02-25,Schedule 1,2019-02-25,British Columbia,Lichens,,Added to list
Mountain Holly Fern,,Threatened,2005-05-05,Polystichum scopulinum,Mountain Holly Fern,,Threatened,2006-08-15,Schedule 1,2006-08-15,"British Columbia, Newfoundland and Labrador, Quebec",Vascular Plants,,Added to list
Mountain Plover,,Endangered,2021-12-01,Charadrius montanus,Mountain Plover,,Endangered,2003-06-05,Schedule 1,2003-06-05,"Alberta, Saskatchewan",Birds,,Added to list
Mountain Sucker,,Non-active,2010-11-26,Catostomus platyrhynchus,,,No Status,,No schedule,,"Alberta, British Columbia, Saskatchewan",Fishes (freshwater),,
Mountain Sucker,Milk River populations,Non-active,2022-12-03,Catostomus platyrhynchus,Mountain Sucker,Milk River populations,Threatened,2017-04-13,Schedule 1,2017-04-13,"Alberta, Saskatchewan",Fishes (freshwater),,Added to list
Mountain Sucker,Pacific populations,Non-active,2022-12-03,Catostomus platyrhynchus,Mountain Sucker,Pacific populations,Special Concern,2017-04-13,Schedule 1,2017-04-13,British Columbia,Fishes (freshwater),,Added to list
Mountain Sucker,Saskatchewan - Nelson River populations,Non-active,2022-12-03,Catostomus platyrhynchus,,,No Status,,No schedule,,"Alberta, Saskatchewan",Fishes (freshwater),,
Mudpuppy,,Non-active,2023-12-01,Necturus maculosus,,,No Status,,No schedule,,"Manitoba, Ontario, Quebec",Amphibians,,
Mudpuppy,Great Lakes / St. Lawrence population,Special Concern,2023-12-01,Necturus maculosus,Mudpuppy,Great Lakes / St. Lawrence population,No Status,,No schedule,,"Ontario, Quebec",Amphibians,Addition,Pending
Mudpuppy,Manitoba population,Threatened,2023-12-01,Necturus maculosus,Mudpuppy,Manitoba population,No Status,,No schedule,,Manitoba,Amphibians,Addition,Pending
Muhlenberg's Centaury,,Endangered,2008-04-25,Centaurium muehlenbergii,Muhlenberg's Centaury,,Endangered,2010-02-23,Schedule 1,2010-02-23,British Columbia,Vascular Plants,,Added to list
Nahanni Aster,,Special Concern,2014-05-02,Symphyotrichum nahanniense,Nahanni Aster,,Special Concern,2018-02-02,Schedule 1,2018-02-02,Northwest Territories,Vascular Plants,,Added to list
Narrow-leaved Wallflower,,Not at Risk,1993-04-01,Erysimum angustatum,,,No Status,,No schedule,,Yukon,Vascular Plants,,
Narwhal,,Not at Risk,2024-05-09,Monodon monoceros,Narwhal,,No Status,,No schedule,,"Arctic Ocean, Atlantic Ocean, Newfoundland and Labrador, Nunavut, Quebec",Mammals (marine),,
Nebraska Sedge,,Not at Risk,1995-04-01,Carex nebrascensis,,,No Status,,No schedule,,Alberta,Vascular Plants,,
Nelson's Sharp-tailed Sparrow,,Not at Risk,1998-04-01,Ammodramus nelsoni,,,No Status,,No schedule,,"Alberta, British Columbia, Manitoba, New Brunswick, Nova Scotia, Ontario, Prince Edward Island, Quebec, Saskatchewan",Birds,,
New Jersey Rush,,Special Concern,2004-05-01,Juncus caesariensis,New Jersey Rush,,Special Concern,2005-07-14,Schedule 1,2005-07-14,Nova Scotia,Vascular Plants,,Added to list
Nine-spotted Lady Beetle,,Endangered,2016-04-29,Coccinella novemnotata,Nine-spotted Lady Beetle,,Endangered,2023-02-03,Schedule 1,2023-02-03,"Alberta, British Columbia, Manitoba, Ontario, Quebec, Saskatchewan",Arthropods,,Added to list
Nodding Pogonia,,Endangered,2010-11-26,Triphora trianthophoros,Nodding Pogonia,,Endangered,2003-06-05,Schedule 1,2003-06-05,Ontario,Vascular Plants,,Added to list
Non-pollinating Yucca Moth,,Endangered,2013-05-03,Tegeticula corruptrix,Non-pollinating Yucca Moth,,Endangered,2007-12-13,Schedule 1,2007-12-13,Alberta,Arthropods,,Added to list
Nooksack Dace,,Endangered,2018-11-01,Rhinichthys cataractae,Nooksack Dace,,Endangered,2003-06-05,Schedule 1,2003-06-05,British Columbia,Fishes (freshwater),,Added to list
North Atlantic Right Whale,,Endangered,2013-11-01,Eubalaena glacialis,North Atlantic Right Whale,,Endangered,2005-01-12,Schedule 1,2005-01-12,Atlantic Ocean,Mammals (marine),,Added to list
North Pacific Right Whale,,Endangered,2015-05-01,Eubalaena japonica,North Pacific Right Whale,,Endangered,2006-08-15,Schedule 1,2006-08-15,Pacific Ocean,Mammals (marine),,Added to list
North Pacific Spiny Dogfish,,Special Concern,2011-11-25,Squalus suckleyi,North Pacific Spiny Dogfish,,No Status,,No schedule,,Pacific Ocean,Fishes (marine),Addition,Pending
Northern Abalone,,Endangered,2009-04-26,Haliotis kamtschatkana,Northern Abalone,,Endangered,2011-06-23,Schedule 1,2003-06-05,"British Columbia, Pacific Ocean",Molluscs,,Uplisted: Threatened to endangered
Northern Alligator Lizard,,Not at Risk,2002-05-01,Elgaria coerulea,,,No Status,,No schedule,,British Columbia,Reptiles,,
Northern Barrens Tiger Beetle,,Endangered,2009-11-27,Cicindela patruela,Northern Barrens Tiger Beetle,,Endangered,2012-06-20,Schedule 1,2012-06-20,"Ontario, Quebec",Arthropods,,Added to list
Northern Bobwhite,,Endangered,2023-05-05,Colinus virginianus,Northern Bobwhite,,Endangered,2005-07-14,Schedule 1,2005-07-14,Ontario,Birds,,Added to list
Northern Bottlenose Whale,,Non-active,1996-04-01,Hyperoodon ampullatus,,,No Status,,No schedule,,Atlantic Ocean,Mammals (marine),,
Northern Bottlenose Whale,Davis Strait-Baffin Bay-Labrador Sea population,Special Concern,2011-05-06,Hyperoodon ampullatus,Northern Bottlenose Whale,Davis Strait-Baffin Bay-Labrador Sea population,No Status,,No schedule,,Atlantic Ocean,Mammals (marine),Addition,Pending
Northern Bottlenose Whale,Scotian Shelf population,Endangered,2011-05-06,Hyperoodon ampullatus,Northern Bottlenose Whale,Scotian Shelf population,Endangered,2006-04-06,Schedule 1,2006-04-06,Atlantic Ocean,Mammals (marine),,Added to list
Northern Brook Lamprey,,Non-active,2007-04-22,Ichthyomyzon fossor,Northern Brook Lamprey,,,,,,"Manitoba, Ontario, Quebec",Fishes (freshwater),,
Northern Brook Lamprey,Great Lakes - Upper St. Lawrence populations,Special Concern,2020-11-04,Ichthyomyzon fossor,Northern Brook Lamprey,Great Lakes - Upper St. Lawrence populations,Special Concern,2009-03-05,Schedule 1,2009-03-05,"Ontario, Quebec",Fishes (freshwater),,Added to list
Northern Brook Lamprey,Saskatchewan - Nelson River populations,Endangered,2020-11-04,Ichthyomyzon fossor,Northern Brook Lamprey,Saskatchewan-Nelson population,,,,,Manitoba,Fishes (freshwater),,
Northern Dusky Salamander,,Non-active,2012-05-04,Desmognathus fuscus,,,No Status,,No schedule,,"New Brunswick, Ontario, Quebec",Amphibians,,
Northern Dusky Salamander,Carolinian population,Endangered,2012-05-04,Desmognathus fuscus,Northern Dusky Salamander,Carolinian population,Endangered,2017-06-02,Schedule 1,2017-06-02,Ontario,Amphibians,,Added to list
Northern Dusky Salamander,Quebec / New Brunswick population,Not at Risk,2012-05-04,Desmognathus fuscus,,,No Status,,No schedule,,"New Brunswick, Quebec",Amphibians,,
Northern Elephant Seal,,Not at Risk,1986-04-01,Mirounga angustirostris,,,No Status,,No schedule,,"British Columbia, Pacific Ocean",Mammals (marine),,
Northern Fur Seal,,Threatened,2022-12-03,Callorhinus ursinus,Northern Fur Seal,,No Status,,No schedule,,"British Columbia, Pacific Ocean",Mammals (marine),Addition,Pending
Northern Goshawk atricapillus subspecies,,Not at Risk,1995-04-01,Accipiter gentilis atricapillus,,,No Status,,No schedule,,"Alberta, British Columbia, Manitoba, New Brunswick, Newfoundland and Labrador, Northwest Territories, Nova Scotia, Nunavut, Ontario, Prince Edward Island, Quebec, Saskatchewan, Yukon",Birds,,
Northern Goshawk laingi subspecies,,Threatened,2013-05-03,Accipiter gentilis laingi,Northern Goshawk laingi subspecies,,Threatened,2003-06-05,Schedule 1,2003-06-05,British Columbia,Birds,,Added to list
Northern Grey Wolf,,Not at Risk,1999-04-01,Canis lupus occidentalis,,,No Status,,No schedule,,"Alberta, British Columbia, Manitoba, Newfoundland and Labrador, Northwest Territories, Nunavut, Ontario, Quebec, Saskatchewan, Yukon",Mammals (terrestrial),,
Northern Harrier,,Not at Risk,1993-04-01,Circus cyaneus,,,No Status,,No schedule,,"Alberta, British Columbia, Manitoba, New Brunswick, Newfoundland and Labrador, Northwest Territories, Nova Scotia, Nunavut, Ontario, Prince Edward Island, Quebec, Saskatchewan, Yukon",Birds,,
Northern Hawk Owl,,Not at Risk,1992-04-01,Surnia ulula,,,No Status,,No schedule,,"Alberta, British Columbia, Manitoba, New Brunswick, Newfoundland and Labrador, Northwest Territories, Ontario, Quebec, Saskatchewan, Yukon",Birds,,
Northern Leopard Frog,Eastern populations,Not at Risk,2009-04-26,Lithobates pipiens,,,No Status,,No schedule,,"Manitoba, New Brunswick, Newfoundland and Labrador, Nova Scotia, Ontario, Prince Edward Island, Quebec",Amphibians,,
Northern Leopard Frog,Rocky Mountain population,Endangered,2021-12-01,Lithobates pipiens,Northern Leopard Frog,Rocky Mountain population,Endangered,2003-06-05,Schedule 1,2003-06-05,British Columbia,Amphibians,,Added to list
Northern Leopard Frog,Western Boreal/Prairie populations,Special Concern,2009-04-26,Lithobates pipiens,Northern Leopard Frog,Western Boreal/Prairie populations,Special Concern,2005-01-12,Schedule 1,2005-01-12,"Alberta, Manitoba, Northwest Territories, Saskatchewan",Amphibians,,Added to list
Northern Madtom,,Endangered,2012-05-04,Noturus stigmosus,Northern Madtom,,Endangered,2005-01-12,Schedule 1,2005-01-12,Ontario,Fishes (freshwater),,Added to list
Northern Map Turtle,,Special Concern,2012-11-25,Graptemys geographica,Northern Map Turtle,,Special Concern,2005-01-12,Schedule 1,2005-01-12,"Ontario, Quebec",Reptiles,,Added to list
Northern Mock Goldenweed,,Not at Risk,1997-04-01,Stenotus borealis,,,No Status,,No schedule,,Yukon,Vascular Plants,,
Northern Myotis,,Endangered,2013-11-01,Myotis septentrionalis,Northern Myotis,,Endangered,2014-11-26,Schedule 1,2014-11-26,"Alberta, British Columbia, Manitoba, New Brunswick, Newfoundland and Labrador, Northwest Territories, Nova Scotia, Ontario, Prince Edward Island, Quebec, Saskatchewan, Yukon",Mammals (terrestrial),,Added to list
Northern Oak Hairstreak,,Threatened,2022-05-11,Satyrium favonius ontario,Northern Oak Hairstreak,,No Status,,No schedule,,Ontario,Arthropods,Addition,Pending
Northern Red-legged Frog,,Special Concern,2015-05-01,Rana aurora,Northern Red-legged Frog,,Special Concern,2005-01-12,Schedule 1,2005-01-12,British Columbia,Amphibians,,Added to list
Northern Riffleshell,,Endangered,2010-04-25,Epioblasma rangiana,Northern Riffleshell,,Endangered,2003-06-05,Schedule 1,2003-06-05,Ontario,Molluscs,,Added to list
Northern Right Whale Dolphin,,Not at Risk,1990-04-01,Lissodelphis borealis,,,No Status,,No schedule,,Pacific Ocean,Mammals (marine),,
Northern Rubber Boa,,Special Concern,2016-04-29,Charina bottae,Northern Rubber Boa,,Special Concern,2005-01-12,Schedule 1,2005-01-12,British Columbia,Reptiles,,Added to list
Northern Saw-whet Owl brooksi subspecies,,Threatened,2017-11-01,Aegolius acadicus brooksi,Northern Saw-whet Owl brooksi subspecies,,Threatened,2007-12-13,Schedule 1,2007-12-13,British Columbia,Birds,,Added to list
Northern Sunfish,,Non-active,2016-04-29,Lepomis peltastes,,,No Status,,No schedule,,"Ontario, Quebec",Fishes (freshwater),,
Northern Sunfish,Great Lakes - Upper St. Lawrence populations,Special Concern,2016-04-29,Lepomis peltastes,Northern Sunfish,Great Lakes - Upper St. Lawrence populations,Special Concern,2019-08-08,Schedule 1,2019-08-08,"Ontario, Quebec",Fishes (freshwater),,Added to list
Northern Sunfish,Saskatchewan - Nelson River populations,Not at Risk,2016-04-29,Lepomis peltastes,,,No Status,,No schedule,,Ontario,Fishes (freshwater),,
Northern Watersnake,,Not at Risk,2002-05-01,Nerodia sipedon sipedon,,,No Status,,No schedule,,"Ontario, Quebec",Reptiles,,
Northern Wolffish,,Threatened,2012-11-25,Anarhichas denticulatus,Northern Wolffish,,Threatened,2003-06-05,Schedule 1,2003-06-05,"Arctic Ocean, Atlantic Ocean",Fishes (marine),,Added to list
Northwestern Cellar Spider,,Not at Risk,2014-05-02,Psilochorus hesperus,,,No Status,,No schedule,,British Columbia,Arthropods,,
Northwestern Gartersnake,,Not at Risk,2003-05-01,Thamnophis ordinoides,,,No Status,,No schedule,,British Columbia,Reptiles,,
Northwestern Salamander,,Not at Risk,1999-04-01,Ambystoma gracile,,,No Status,,No schedule,,British Columbia,Amphibians,,
Nugget Moss,,Endangered,2016-11-27,Microbryum vlassovii,Nugget Moss,,Endangered,2009-03-05,Schedule 1,2009-03-05,British Columbia,Mosses,,Added to list
Nuttall's Cottontail nuttallii subspecies,,Special Concern,2016-11-27,Sylvilagus nuttallii nuttallii,Nuttall's Cottontail nuttallii subspecies,,Special Concern,2007-12-13,Schedule 1,2007-12-13,British Columbia,Mammals (terrestrial),,Added to list
Nuttall's Cottontail pinetis subspecies,,Not at Risk,1994-04-01,Sylvilagus nuttallii pinetis,,,No Status,,No schedule,,"Alberta, Saskatchewan",Mammals (terrestrial),,
Nuttall's Sheep Moth,,Endangered,2015-11-26,Hemileuca nuttalli,Nuttall's Sheep Moth,,Endangered,2023-02-03,Schedule 1,2023-02-03,British Columbia,Arthropods,,Added to list
Ogden's Pondweed,,Endangered,2007-04-22,Potamogeton ogdenii,Ogden's Pondweed,,Endangered,2009-03-05,Schedule 1,2009-03-05,Ontario,Vascular Plants,,Added to list
